inverse_volatility,minimum_variance,minimum_variance_oas
6.746254188344926e-06,-3.4285065424046634e-05,-0.00011945254953053445
0.0001653045719738361,5.623794660186216e-06,-0.0002628823177425853
2.797398176035041e-05,-0.0006138068541234068,-0.000685868895478623
-1.9056825561112705e-05,-0.0005447661662971443,-0.0006022525304103775
-8.363391555005485e-05,-0.00032734070160831454,-0.0004908407901941559
9.41074988920596e-05,-0.00017807823113609277,-0.0004673456568684826
-4.816206182842761e-05,-0.00028562061106174113,-0.0004914138951626016
-7.282793485883718e-05,-0.000266635112856981,-0.00041515335511686433
0.00012106822373584729,0.00027701765241839997,2.2478391976300387e-05
3.242590428939742e-06,-0.00021929458237450924,-0.00033394764920855813
4.818533416365108e-06,0.00036521996956278885,0.00026861850444575056
7.1082942198046615e-06,-0.0009447427095234407,-0.0010774179507394132
-0.00010259422185023598,-0.00032157168177417925,-0.0004906353888772901
4.156587194228281e-05,-0.00028749274667790514,-0.0005176936011735557
-9.655289027109534e-05,-0.0004475982982590864,-0.0004882656942374935
0.00012989215123093592,-0.00046289281693964344,-0.0005189691534940688
-6.070823632044409e-05,-0.0006401004456686721,-0.0008732826928153077
2.2113451497172477e-05,-0.0002527204532446463,-0.00040044497353273686
8.413082974437132e-05,0.0005751316690585075,0.00038325574098382084
0.00011895247612600618,0.0005141740971250557,0.00016132720664739083
-1.1637707329603604e-05,-0.0005857590719134534,-0.0007404388929354094
-2.2812287143483562e-05,-0.00043138906176714724,-0.0005877896641194409
0.00011411279983350055,-0.00021246520803038286,-0.00047107881577148974
-3.5469406461668843e-06,-0.000711699256447838,-0.0008703755796511379
8.60637169886014e-05,-0.00022991701846196002,-0.00036398005599303786
0.00016712956843944983,-0.00037387479704557164,-0.0007168939506055943
-2.5424973774148684e-05,-0.0004840619039199784,-0.0005507197608840256
0.0001418872093012385,-0.0002687750895155964,-0.00031040931471027015
-8.203948740704187e-05,-6.8444245729263e-05,-0.0002359244217430029
-5.4821640465872376e-05,-0.00027958428222955595,-0.0003516021863899198
-7.488525130775633e-05,-0.000872282765206266,-0.0010279222353733457
-5.5121347696257355e-05,-0.0006936722193402832,-0.0008102841752596902
7.492996722502436e-05,-0.00017916918666259236,-0.0002627990210974831
7.242749700833273e-05,-0.0005924921667366709,-0.0007249990620283424
5.860124804443328e-05,-0.00038848181681092964,-0.0006462498085580342
2.510757067213898e-05,0.00014631199327738717,-5.5994311497844276e-05
-0.000146935766481704,-0.001734207617803467,-0.0017272694281113869
1.7067652531640515e-05,0.0004881631278013829,0.00012413206467343663
-2.966108640712428e-05,-0.0001878819041398057,-0.0002185468832273875
-7.827435837865201e-05,-0.00034651232813809427,-0.0005517659520922645
0.0001428815588622455,0.00019910391151254232,-5.397421482414085e-05
6.873186337630818e-05,-0.00020021110273743564,-0.0004118891522757368
-3.7592477171757485e-05,-0.00033726364875885716,-0.0004230212475520238
8.273694414121638e-05,0.0004007077530221618,0.00019958562350399895
0.00022198352742055217,0.00023056965997143776,8.656555515696595e-05
4.8871152566698885e-05,1.6154326259908868e-05,-0.00023727289786408924
3.082448855968999e-05,7.50827636842117e-05,4.1218788647773955e-05
3.061469081852019e-05,-0.0005326958756002358,-0.0005825199079066829
-3.490296055305792e-05,-0.00020011699810444221,-0.0003275196972698555
7.624270013623568e-05,6.489850750286729e-05,-0.00010424208923707663
0.00010965214052929741,-0.0006445659696404288,-0.0006951916855071381
0.00012263446243364443,-5.9121102583377806e-05,-0.0002407753729811046
3.867479547029298e-05,-0.00020558988306678663,-0.00026616029449387664
5.342665854090066e-05,0.00036767856228773143,0.00016783624000046805
0.00013532543934456086,0.0001066983528952865,-0.0002878042552389653
0.0002452826934122539,0.0014645410903576326,0.001182769375562373
4.0922577566225476e-05,-0.0001519178068085039,-0.00018956602888140015
4.722166939541352e-05,-0.00020994249797424836,-0.0004093595489421657
7.657568677376525e-05,0.00015655019136637656,-9.948595982613265e-05
-5.8085412520241826e-05,0.00048284083436700724,0.00030599733328217065
5.1744534882810676e-05,-0.0005823754886385749,-0.0009291608284450084
0.00017196825988732164,-0.0007329506256639809,-0.0009299624078592043
4.4623418697469825e-05,-0.0006003167377142112,-0.0008249611073585597
9.347673780253868e-05,0.0006355342478742543,0.00033187477120121087
9.693025495772955e-05,0.00013122852692304973,-3.735466967978048e-05
7.448926659099937e-05,0.0002745897446089192,0.00010942571370925382
0.00013781126102416327,-3.8739831762118825e-05,-0.00032781147040846946
6.0103359485253675e-05,0.000186636116492797,0.00010277974095046228
6.483117404529158e-06,0.00027130677821761374,5.8099500098195616e-05
7.002472575210858e-05,0.0009316221853970588,0.0006800111135278302
9.656555421456027e-05,0.0007760262750281765,0.00052341257506091
-2.6242731473071455e-05,-0.0002538645998042874,-0.0003950586709169698
5.711742683514338e-05,-0.000449431701642819,-0.0006456027167973872
8.483531591405925e-05,-0.0001716181070478829,-0.0004565126712522959
-4.621889103947229e-05,-0.0007976640731624319,-0.0008276395597278698
-2.6137264202610985e-06,7.600284343524819e-05,-1.6692916255368217e-05
2.430448084359483e-05,0.0003674927034604095,0.00025272513457298896
0.00010075781980950751,0.0008756072223371355,0.0007160347338904211
-1.1740639103599191e-05,-0.00044374166055275246,-0.0005492218001299216
9.905957289110497e-05,-2.1791334043902086e-05,-0.00018452613377265578
6.491629640093732e-05,7.296018998241061e-05,2.9322965174920958e-05
0.00016349389734606205,0.0006867332020937759,0.00039383502880340013
-5.990844102835035e-07,-7.700598004174413e-05,-0.0003580380276765184
